Protein.Group	Protein.Ids	Genes	Run	Precursor.Normalised
PZ00001a000363	PZ00001a000363		B73_TMT1_1	0.055699
PZ00001a029032	PZ00001a029032		B73_TMT1_1	0.0
PZ00001a045530	PZ00001a045530		B73_TMT1_1	0.05058
PZ00001a001444	PZ00001a001444		B73_TMT1_1	0.0
PZ00001a034530	PZ00001a034530		B73_TMT1_1	0.0
PZ00001a001663	PZ00001a001663		B73_TMT1_1	0.0
PZ00001a002070	PZ00001a002070		B73_TMT1_1	0.0
PZ00001a002206	PZ00001a002206		B73_TMT1_1	0.0
PZ00001a002440	PZ00001a002440		B73_TMT1_1	0.12721
PZ00001a002562	PZ00001a002562		B73_TMT1_1	0.0
PZ00001a002767	PZ00001a002767		B73_TMT1_1	0.0
PZ00001a002788	PZ00001a002788		B73_TMT1_1	0.0
PZ00001a002925	PZ00001a002925		B73_TMT1_1	0.098173
PZ00001a004316	PZ00001a004316		B73_TMT1_1	0.081096
PZ00001a004394	PZ00001a004394		B73_TMT1_1	0.0
PZ00001a004575	PZ00001a004575		B73_TMT1_1	0.06042
PZ00001a004996	PZ00001a004996		B73_TMT1_1	0.032504
PZ00001a005489	PZ00001a005489		B73_TMT1_1	0.0
PZ00001a005584	PZ00001a005584		B73_TMT1_1	0.0
PZ00001a019351	PZ00001a019351		B73_TMT1_1	0.0
PZ00001a005699	PZ00001a005699		B73_TMT1_1	0.096795
PZ00001a005837	PZ00001a005837		B73_TMT1_1	0.068254
PZ00001a006376	PZ00001a006376		B73_TMT1_1	0.030487
PZ00001a006479	PZ00001a006479		B73_TMT1_1	0.0
PZ00001a006809	PZ00001a006809		B73_TMT1_1	0.071583
PZ00001a007022	PZ00001a007022		B73_TMT1_1	0.0
PZ00001a007165	PZ00001a007165		B73_TMT1_1	0.0
PZ00001a007749	PZ00001a007749		B73_TMT1_1	0.067061
PZ00001a007842	PZ00001a007842		B73_TMT1_1	0.0
PZ00001a009084	PZ00001a009084		B73_TMT1_1	0.0
PZ00001a009505	PZ00001a009505		B73_TMT1_1	0.0
PZ00001a009907	PZ00001a009907		B73_TMT1_1	0.034425
PZ00001a010078	PZ00001a010078		B73_TMT1_1	0.049173
Zm00001d047775	Zm00001d047775		B73_TMT1_1	0.0
PZ00001a010662	PZ00001a010662		B73_TMT1_1	0.0
PZ00001a010711	PZ00001a010711		B73_TMT1_1	0.068505
PZ00001a010741	PZ00001a010741		B73_TMT1_1	0.049045
Zm00001d037736	Zm00001d037736		B73_TMT1_1	0.0
PZ00001a011537	PZ00001a011537		B73_TMT1_1	0.083798
PZ00001a011692	PZ00001a011692		B73_TMT1_1	0.0
Zm00001d049691	Zm00001d049691		B73_TMT1_1	0.026111
PZ00001a031723	PZ00001a031723		B73_TMT1_1	0.0
PZ00001a012416	PZ00001a012416		B73_TMT1_1	0.0
Zm00001d053963	Zm00001d053963		B73_TMT1_1	0.071281
PZ00001a012864	PZ00001a012864		B73_TMT1_1	0.074951
PZ00001a012923	PZ00001a012923		B73_TMT1_1	0.0
PZ00001a013110	PZ00001a013110		B73_TMT1_1	0.0
PZ00001a013441	PZ00001a013441		B73_TMT1_1	0.065865
PZ00001a013461	PZ00001a013461		B73_TMT1_1	0.065964
PZ00001a013628	PZ00001a013628		B73_TMT1_1	0.097129
PZ00001a014246	PZ00001a014246		B73_TMT1_1	0.061545
PZ00001a014501	PZ00001a014501		B73_TMT1_1	0.0
PZ00001a014706	PZ00001a014706		B73_TMT1_1	0.051882
PZ00001a015316	PZ00001a015316		B73_TMT1_1	0.0
PZ00001a015386	PZ00001a015386		B73_TMT1_1	0.0
PZ00001a015542	PZ00001a015542		B73_TMT1_1	0.0
PZ00001a015604	PZ00001a015604		B73_TMT1_1	0.0
PZ00001a015744	PZ00001a015744		B73_TMT1_1	0.09492
PZ00001a015906	PZ00001a015906		B73_TMT1_1	0.059745
PZ00001a015907	PZ00001a015907		B73_TMT1_1	0.0
PZ00001a016129	PZ00001a016129		B73_TMT1_1	0.0
PZ00001a016553	PZ00001a016553		B73_TMT1_1	0.0
PZ00001a018707	PZ00001a018707		B73_TMT1_1	0.068893
Zm00001d029100	Zm00001d029100		B73_TMT1_1	0.0
PZ00001a017646	PZ00001a017646		B73_TMT1_1	0.0
PZ00001a017801	PZ00001a017801		B73_TMT1_1	0.0
PZ00001a018186	PZ00001a018186		B73_TMT1_1	0.0
Zm00001d017782	Zm00001d017782		B73_TMT1_1	0.024317
PZ00001a018479	PZ00001a018479		B73_TMT1_1	0.10449
Zm00001d052034	Zm00001d052034		B73_TMT1_1	0.0
PZ00001a019476	PZ00001a019476		B73_TMT1_1	0.076003
PZ00001a019790	PZ00001a019790		B73_TMT1_1	0.0
PZ00001a019987	PZ00001a019987		B73_TMT1_1	0.0
PZ00001a019988	PZ00001a019988		B73_TMT1_1	0.073918
PZ00001a020052	PZ00001a020052		B73_TMT1_1	0.08434
PZ00001a020053	PZ00001a020053		B73_TMT1_1	0.065919
PZ00001a020585	PZ00001a020585		B73_TMT1_1	0.0
PZ00001a020618	PZ00001a020618		B73_TMT1_1	0.060941
PZ00001a020776	PZ00001a020776		B73_TMT1_1	0.046533
PZ00001a020825	PZ00001a020825		B73_TMT1_1	0.061536
PZ00001a021125	PZ00001a021125		B73_TMT1_1	0.0
PZ00001a031194	PZ00001a031194		B73_TMT1_1	0.052735
PZ00001a021305	PZ00001a021305		B73_TMT1_1	0.0
PZ00001a021608	PZ00001a021608		B73_TMT1_1	0.14969
Zm00001d006268	Zm00001d006268		B73_TMT1_1	0.0
PZ00001a021749	PZ00001a021749		B73_TMT1_1	0.0
PZ00001a021824	PZ00001a021824		B73_TMT1_1	0.0
Zm00001d025873	Zm00001d025873		B73_TMT1_1	0.13848
Zm00001d041583	Zm00001d041583		B73_TMT1_1	0.0
PZ00001a022664	PZ00001a022664		B73_TMT1_1	0.0
PZ00001a022684	PZ00001a022684		B73_TMT1_1	0.0
Zm00001d007567	Zm00001d007567		B73_TMT1_1	0.049094
PZ00001a023182	PZ00001a023182		B73_TMT1_1	0.056155
PZ00001a023595	PZ00001a023595		B73_TMT1_1	0.066549
PZ00001a023677	PZ00001a023677		B73_TMT1_1	0.056941
PZ00001a024126	PZ00001a024126		B73_TMT1_1	0.0
PZ00001a024179	PZ00001a024179		B73_TMT1_1	0.060359
PZ00001a024589	PZ00001a024589		B73_TMT1_1	0.0
PZ00001a024760	PZ00001a024760		B73_TMT1_1	0.0
PZ00001a024771	PZ00001a024771		B73_TMT1_1	0.0
PZ00001a025151	PZ00001a025151		B73_TMT1_1	0.061851
PZ00001a025543	PZ00001a025543		B73_TMT1_1	0.0
PZ00001a025608	PZ00001a025608		B73_TMT1_1	0.0
PZ00001a025671	PZ00001a025671		B73_TMT1_1	0.067332
PZ00001a025840	PZ00001a025840		B73_TMT1_1	0.0
PZ00001a025913	PZ00001a025913		B73_TMT1_1	0.0
PZ00001a026178	PZ00001a026178		B73_TMT1_1	0.05445
PZ00001a026270	PZ00001a026270		B73_TMT1_1	0.0
PZ00001a026281	PZ00001a026281		B73_TMT1_1	0.0
PZ00001a026611	PZ00001a026611		B73_TMT1_1	0.0
PZ00001a026674	PZ00001a026674		B73_TMT1_1	0.0
PZ00001a026852	PZ00001a026852		B73_TMT1_1	0.0
PZ00001a027336	PZ00001a027336		B73_TMT1_1	0.0
PZ00001a027421	PZ00001a027421		B73_TMT1_1	0.0
PZ00001a041298	PZ00001a041298		B73_TMT1_1	0.061954
PZ00001a027823	PZ00001a027823		B73_TMT1_1	0.071388
Zm00001d007411	Zm00001d007411		B73_TMT1_1	0.036345
PZ00001a028168	PZ00001a028168		B73_TMT1_1	0.0
PZ00001a028193	PZ00001a028193		B73_TMT1_1	0.0
Zm00001d041727	Zm00001d041727		B73_TMT1_1	0.074948
Zm00001d022463	Zm00001d022463		B73_TMT1_1	0.084543
PZ00001a028569	PZ00001a028569		B73_TMT1_1	0.0
PZ00001a029178	PZ00001a029178		B73_TMT1_1	0.0
PZ00001a029549	PZ00001a029549		B73_TMT1_1	0.0
PZ00001a030143	PZ00001a030143		B73_TMT1_1	0.0
PZ00001a030361	PZ00001a030361		B73_TMT1_1	0.052574
PZ00001a031043	PZ00001a031043		B73_TMT1_1	0.12576
PZ00001a031048	PZ00001a031048		B73_TMT1_1	0.075248
PZ00001a031104	PZ00001a031104		B73_TMT1_1	0.0
PZ00001a031428	PZ00001a031428		B73_TMT1_1	0.079198
PZ00001a039481	PZ00001a039481		B73_TMT1_1	0.0
PZ00001a031927	PZ00001a031927		B73_TMT1_1	0.0
PZ00001a034226	PZ00001a034226		B73_TMT1_1	0.063835
PZ00001a032257	PZ00001a032257		B73_TMT1_1	0.0
PZ00001a032284	PZ00001a032284		B73_TMT1_1	0.0
PZ00001a032404	PZ00001a032404		B73_TMT1_1	0.0
PZ00001a032588	PZ00001a032588		B73_TMT1_1	0.080908
PZ00001a032889	PZ00001a032889		B73_TMT1_1	0.0
PZ00001a033308	PZ00001a033308		B73_TMT1_1	0.074961
PZ00001a033985	PZ00001a033985		B73_TMT1_1	0.0
PZ00001a033996	PZ00001a033996		B73_TMT1_1	0.0
PZ00001a044223	PZ00001a044223		B73_TMT1_1	0.0
PZ00001a034573	PZ00001a034573		B73_TMT1_1	0.032594
