Protein	Gene	Protein Description	LFQ intensity B73_TMT1_1	LFQ intensity Y12_TMT1_1
PZ00001a000363			0.055699	0.0
PZ00001a029032			0.0	0.0
PZ00001a045530			0.05058	0.0
PZ00001a001444			0.0	0.23849
PZ00001a034530			0.0	0.0
PZ00001a001663			0.0	0.23818
PZ00001a002070			0.0	0.0
PZ00001a002206			0.0	0.0
PZ00001a002440			0.12721	0.0
PZ00001a002562			0.0	0.27595
PZ00001a002767			0.0	0.21367
PZ00001a002788			0.0	0.0
PZ00001a002925			0.098173	0.0
PZ00001a004316			0.081096	0.21656
PZ00001a004394			0.0	0.21228
PZ00001a004575			0.06042	0.0
PZ00001a004996			0.032504	0.0
PZ00001a005489			0.0	0.0
PZ00001a005584			0.0	0.0
PZ00001a019351			0.0	0.0
PZ00001a005699			0.096795	0.0
PZ00001a005837			0.068254	0.0
PZ00001a006376			0.030487	0.0
PZ00001a006479			0.0	0.0
PZ00001a006809			0.071583	0.0
PZ00001a007022			0.0	0.0
PZ00001a007165			0.0	0.15798
PZ00001a007749			0.067061	0.22513
PZ00001a007842			0.0	0.0
PZ00001a009084			0.0	0.0
PZ00001a009505			0.0	0.14955
PZ00001a009907			0.034425	0.18335
PZ00001a010078			0.049173	0.0
Zm00001d047775			0.0	0.0
PZ00001a010662			0.0	0.21175
PZ00001a010711			0.068505	0.15232
PZ00001a010741			0.049045	0.0
Zm00001d037736			0.0	0.18814
PZ00001a011537			0.083798	0.22913
PZ00001a011692			0.0	0.0
Zm00001d049691			0.026111	0.22509
PZ00001a031723			0.0	0.0
PZ00001a012416			0.0	0.0
Zm00001d053963			0.071281	0.33741
PZ00001a012864			0.074951	0.14774
PZ00001a012923			0.0	0.0
PZ00001a013110			0.0	0.0
PZ00001a013441			0.065865	0.0
PZ00001a013461			0.065964	0.0
PZ00001a013628			0.097129	0.0
PZ00001a014246			0.061545	0.0
PZ00001a014501			0.0	0.22089
PZ00001a014706			0.051882	0.0
PZ00001a015316			0.0	0.0
PZ00001a015386			0.0	0.0
PZ00001a015542			0.0	0.0
PZ00001a015604			0.0	0.0
PZ00001a015744			0.09492	0.30181
PZ00001a015906			0.059745	0.22111
PZ00001a015907			0.0	0.26657
PZ00001a016129			0.0	0.0
PZ00001a016553			0.0	0.2202
PZ00001a018707			0.068893	0.12485
Zm00001d029100			0.0	0.0
PZ00001a017646			0.0	0.0
PZ00001a017801			0.0	0.0
PZ00001a018186			0.0	0.0
Zm00001d017782			0.024317	0.0
PZ00001a018479			0.10449	0.0
Zm00001d052034			0.0	0.0
PZ00001a019476			0.076003	0.0
PZ00001a019790			0.0	0.0
PZ00001a019987			0.0	0.0
PZ00001a019988			0.073918	0.0
PZ00001a020052			0.08434	0.2394
PZ00001a020053			0.065919	0.0
PZ00001a020585			0.0	0.0
PZ00001a020618			0.060941	0.0
PZ00001a020776			0.046533	0.0
PZ00001a020825			0.061536	0.0
PZ00001a021125			0.0	0.24328
PZ00001a031194			0.052735	0.0
PZ00001a021305			0.0	0.0
PZ00001a021608			0.14969	0.0
Zm00001d006268			0.0	0.0
PZ00001a021749			0.0	0.0
PZ00001a021824			0.0	0.0
Zm00001d025873			0.13848	0.20328
Zm00001d041583			0.0	0.0
PZ00001a022664			0.0	0.31342
PZ00001a022684			0.0	0.0
Zm00001d007567			0.049094	0.1391
PZ00001a023182			0.056155	0.0
PZ00001a023595			0.066549	0.0
PZ00001a023677			0.056941	0.0
PZ00001a024126			0.0	0.16495
PZ00001a024179			0.060359	0.0
PZ00001a024589			0.0	0.18295
PZ00001a024760			0.0	0.2525
PZ00001a024771			0.0	0.18324
PZ00001a025151			0.061851	0.0
PZ00001a025543			0.0	0.17563
PZ00001a025608			0.0	0.16264
PZ00001a025671			0.067332	0.0
PZ00001a025840			0.0	0.0
PZ00001a025913			0.0	0.0
PZ00001a026178			0.05445	0.18956
PZ00001a026270			0.0	0.0
PZ00001a026281			0.0	0.0
PZ00001a026611			0.0	0.22294
PZ00001a026674			0.0	0.21569
PZ00001a026852			0.0	0.14136
PZ00001a027336			0.0	0.0
PZ00001a027421			0.0	0.0
PZ00001a041298			0.061954	0.0
PZ00001a027823			0.071388	0.19688
Zm00001d007411			0.036345	0.0
PZ00001a028168			0.0	0.0
PZ00001a028193			0.0	0.0
Zm00001d041727			0.074948	0.0
Zm00001d022463			0.084543	0.25343
PZ00001a028569			0.0	0.19541
PZ00001a029178			0.0	0.11933
PZ00001a029549			0.0	0.0
PZ00001a030143			0.0	0.0
PZ00001a030361			0.052574	0.14521
PZ00001a031043			0.12576	0.32071
PZ00001a031048			0.075248	0.0
PZ00001a031104			0.0	0.0
PZ00001a031428			0.079198	0.0
PZ00001a039481			0.0	0.0
PZ00001a031927			0.0	0.0
PZ00001a034226			0.063835	0.0
PZ00001a032257			0.0	0.0
PZ00001a032284			0.0	0.0
PZ00001a032404			0.0	0.0
PZ00001a032588			0.080908	0.0
PZ00001a032889			0.0	0.31763
PZ00001a033308			0.074961	0.0
PZ00001a033985			0.0	0.0
PZ00001a033996			0.0	0.0
PZ00001a044223			0.0	0.0
PZ00001a034573			0.032594	0.18884
PZ00001a035157			0.0	0.0
PZ00001a035526			0.0	0.11409
PZ00001a035651			0.0	0.0
PZ00001a035854			0.10743	0.0
PZ00001a036110			0.0	0.16795
PZ00001a036542			0.0	0.0
PZ00001a036590			0.077246	0.0
PZ00001a036773			0.065739	0.0
PZ00001a036869			0.058827	0.23455
PZ00001a036943			0.080296	0.0
PZ00001a036960			0.048011	0.1722
PZ00001a037462			0.0	0.0
Zm00001d028561			0.016857	0.0
PZ00001a038255			0.076709	0.0
PZ00001a038721			0.065	0.0
PZ00001a038990			0.0	0.23963
PZ00001a039059			0.085977	0.0
PZ00001a039712			0.060786	0.20973
PZ00001a039820			0.0	0.25088
PZ00001a039928			0.0	0.18136
PZ00001a040104			0.094624	0.28361
PZ00001a040106			0.084998	0.2395
PZ00001a040387			0.0	0.0
Zm00001d052322			0.072502	0.0
PZ00001a040748			0.0	0.0
PZ00001a040865			0.070003	0.0
PZ00001a041027			0.066227	0.22073
PZ00001a041474			0.054927	0.0
PZ00001a041495			0.077097	0.0
PZ00001a041908			0.032351	0.0
PZ00001a042081			0.038494	0.0
PZ00001a042179			0.0	0.0
PZ00001a042228			0.0	0.0
PZ00001a042622			0.0	0.43366
PZ00001a043059			0.0	0.0
Zm00001d040298			0.073467	0.29642
PZ00001a043370			0.0	0.0
PZ00001a043401			0.076561	0.0
PZ00001a043724			0.0	0.0
PZ00001a043775			0.0	0.0
PZ00001a043995			0.0	0.0
PZ00001a044055			0.0	0.17864
PZ00001a044362			0.077063	0.23001
PZ00001a044386			0.088534	0.17144
PZ00001a044601			0.0	0.0
PZ00001a044741			0.076081	0.25848
PZ00001a044822			0.032661	0.033535
PZ00001a045320			0.0	0.21448
Zm00001d014617			0.030168	0.21766
PZ00001a045671			0.0	0.0
PZ00001a046371			0.061698	0.18527
PZ00001a047012			0.027061	0.0
PZ00001a046642			0.090035	0.19572
PZ00001a047000			0.0	0.0
PZ00001a047177			0.067262	0.12724
PZ00001a047296			0.062077	0.0
PZ00001a047329			0.0	0.11045
PZ00001a047675			0.031076	0.16455
PZ00001a048125			0.0	0.45095
PZ00001a048488			0.052308	0.0
PZ00001a049724			0.035019	0.0
PZ00001a050328			0.0	0.0
REV__PZ00001a048488			0.046716	0.0
Zm00001d000001			0.034605	0.20867
Zm00001d000002			0.055936	0.0
Zm00001d000008			0.071282	0.20722
Zm00001d000018			0.095195	0.24956
Zm00001d000021			0.08313	0.22085
Zm00001d000023			0.058788	0.0
Zm00001d025455			0.0	0.0
Zm00001d000030			0.065812	0.19164
Zm00001d000035			0.0	0.0
Zm00001d029946			0.040134	0.0
Zm00001d000041			0.060784	0.0
Zm00001d000045			0.0	0.18689
Zm00001d000046			0.0	0.0
Zm00001d000055			0.0	0.0
Zm00001d000060			0.042597	0.0
Zm00001d000071			0.0	0.0
Zm00001d000072			0.0	0.0
Zm00001d000080			0.0	0.0
Zm00001d016891			0.0	0.1838
Zm00001d000110			0.0	0.0
Zm00001d000111			0.0	0.0
Zm00001d000116			0.084938	0.23265
Zm00001d000120			0.067293	0.25564
Zm00001d000123			0.054339	0.27917
Zm00001d025323			0.0	0.16824
Zm00001d000126			0.087203	0.23925
Zm00001d000133			0.089144	0.19303
Zm00001d000153			0.061452	0.0
Zm00001d000163			0.067883	0.0
Zm00001d000164			0.042139	0.1094
Zm00001d000166			0.0	0.0
Zm00001d000178			0.071074	0.21767
Zm00001d000184			0.062497	0.13583
Zm00001d000191			0.068976	0.0
Zm00001d000197			0.0	0.0
Zm00001d000202			0.0	0.0
Zm00001d000213			0.080506	0.0
Zm00001d000222			0.06375	0.0
Zm00001d000226			0.1183	0.2176
Zm00001d000227			0.071274	0.22657
Zm00001d000230			0.052667	0.18583
Zm00001d000233			0.0	0.0
Zm00001d000237			0.099507	0.0
Zm00001d000240			0.076817	0.24924
Zm00001d000241			0.078381	0.19575
Zm00001d000256			0.07433	0.0
Zm00001d000260			0.037328	0.16138
Zm00001d000270			0.034014	0.13207
Zm00001d000272			0.036428	0.15516
Zm00001d000277			0.059637	0.15741
Zm00001d000279			0.039595	0.11587
Zm00001d000282			0.047089	0.14924
Zm00001d005750			0.056648	0.0
Zm00001d000294			0.10646	0.0
Zm00001d000295			0.076531	0.0
Zm00001d005500			0.074847	0.0
Zm00001d000300			0.076569	0.1655
Zm00001d000302			0.063316	0.18505
Zm00001d000305			0.096364	0.0
Zm00001d000310			0.070085	0.0
Zm00001d000316			0.037394	0.1681
Zm00001d003550			0.0	0.0
Zm00001d000320			0.066855	0.0
Zm00001d028367			0.077098	0.0
Zm00001d000345			0.079004	0.1933
Zm00001d000349			0.0	0.0
Zm00001d000350			0.0	0.0
Zm00001d043215			0.0	0.0
Zm00001d000379			0.055464	0.26107
Zm00001d000396			0.0	0.0
Zm00001d000399			0.043689	0.14573
Zm00001d000403			0.084047	0.18988
Zm00001d000406			0.063553	0.0
Zm00001d000417			0.046053	0.03805
Zm00001d000418			0.037209	0.0
Zm00001d000428			0.080415	0.24069
Zm00001d000430			0.063871	0.0
Zm00001d000432			0.077229	0.2994
Zm00001d000436			0.059094	0.0
Zm00001d021562			0.061753	0.0
Zm00001d000443			0.072539	0.19167
Zm00001d001765			0.071239	0.22332
Zm00001d001771			0.047942	0.0
Zm00001d001780			0.0	0.21675
Zm00001d001785			0.05894	0.12715
Zm00001d001786			0.0	0.0
