Master Protein Accessions	Protein Description	Gene Symbol	Abundance WT1	Abundance WT2	Abundance WT3	Abundance WT4	Abundance WT_H2O2_1	Abundance WT_H2O2_2	Abundance WT_H2O2_3	Abundance WT_H2O2_4
orf19.1026			0.0	7474000.0	0.0	0.0	0.0	5483900.0	4232300.0	4441500.0
orf19.1026.1			14953000.0	0.0	0.0	8716600.0	0.0	0.0	0.0	0.0
orf19.1029			0.0	0.0	14700000.0	0.0	8778600.0	73433000.0	7912700.0	0.0
orf19.1030			83279000.0	101250000.0	157460000.0	222080000.0	109120000.0	215660000.0	239220000.0	295080000.0
orf19.1032			15431000.0	40382000.0	19623000.0	12617000.0	0.0	5010200.0	21043000.0	6163100.0
orf19.4482			0.0	0.0	0.0	3189400.0	0.0	0.0	0.0	0.0
orf19.1042			135450000.0	41422000.0	11608000.0	36456000.0	42057000.0	65983000.0	61238000.0	84665000.0
orf19.1047			0.0	0.0	128090000.0	102460000.0	0.0	0.0	46393000.0	118870000.0
orf19.1048			0.0	0.0	5262400.0	0.0	11138000.0	24165000.0	28249000.0	32345000.0
orf19.105			880740000.0	824140000.0	783970000.0	775320000.0	663430000.0	748150000.0	350860000.0	347360000.0
orf19.1051			8101299999.999999	5423000000.0	14250000000.0	12613000000.0	2707000000.0	9924800000.0	8703800000.0	9435300000.0
orf19.1055			52432000.0	51003000.0	8336500.0	43749000.0	40104000.0	29538000.0	0.0	21397000.0
orf19.1057			0.0	8431200.0	34815000.0	14517000.0	0.0	0.0	20418000.0	17289000.0
orf19.1058			207980000.0	147830000.0	58348000.0	74224000.0	161120000.0	243220000.0	89108000.0	116160000.0
orf19.1854			240990000.0	180130000.0	434880000.0	477120000.0	271250000.0	181730000.0	738790000.0	848130000.0
orf19.1061			75433000.0	81369000.0	205780000.0	233690000.0	93360000.0	107360000.0	265920000.0	282660000.0
orf19.1064			432300000.0	904110000.0	1484899999.9999998	657060000.0	1088200000.0	914980000.0	876200000.0	379790000.0
orf19.1065			23566000000.0	20612000000.0	20919000000.0	23973000000.0	19907000000.0	25624000000.0	18516000000.0	18743000000.0
orf19.1067			0.0	0.0	4767000.0	5670400.0	0.0	0.0	0.0	0.0
orf19.1078			325470000.0	258980000.0	158660000.0	267790000.0	1059900000.0	801140000.0	371850000.0	420800000.0
orf19.1082.1			312760000.0	269910000.0	321280000.0	365960000.0	36286000.0	507640000.0	382600000.0	364140000.0
orf19.1085			33209000.0	99525000.0	114250000.0	75242000.0	100010000.0	280470000.0	106110000.0	60513000.0
orf19.1086			131840000.0	125300000.0	39438000.0	61424000.0	80127000.0	124740000.0	107290000.0	153470000.0
orf19.109			0.0	0.0	79944000.0	79523000.0	32953000.0	35442000.0	60990000.0	39247000.0
orf19.1091			2533100.0	0.0	0.0	0.0	0.0	2233200.0	0.0	5735800.0
orf19.1093			0.0	4236800.0	0.0	7853500.0	0.0	1562400.0	8886400.0	10644000.0
orf19.1095			55410000.0	65886000.0	71077000.0	81922000.0	40910000.0	61337000.0	68226000.0	100750000.0
orf19.1097			16931000.0	16761000.0	17129000.0	0.0	20656000.0	20208000.0	70224000.0	92870000.0
orf19.1107			24808000.0	3633200.0	0.0	0.0	5392200.0	11406000.0	4405100.0	4634600.0
orf19.1108			0.0	14511000.0	219900000.0	281740000.0	104740000.0	17293000.0	161680000.0	16320000.0
orf19.1110			11553000.0	12874000.0	13752000.0	0.0	25242000.0	16576000.0	0.0	0.0
orf19.1115			469390000.0	442810000.0	509430000.0	587150000.0	325730000.0	523990000.0	362140000.0	369830000.0
orf19.1122			1169100000.0	1018500000.0	1653599999.9999998	1357300000.0	1971000000.0	1651499999.9999998	1000500000.0	1376900000.0
orf19.6676			25392000.0	49018000.0	192630000.0	223720000.0	83676000.0	103660000.0	278420000.0	353960000.0
orf19.113			9938100.0	20829000.0	18002000.0	12273000.0	2808300000.0	3447199999.9999995	313990000.0	0.0
orf19.1139			66630000.0	54777000.0	26659000.0	39291000.0	0.0	47975000.0	21852000.0	28411000.0
orf19.1149			74173000.0	48414000.0	399380000.0	264920000.0	1387300000.0	1530099999.9999998	974160000.0	535230000.0
