PG.ProteinGroups	R.FileName	PG.Quantity
orf19.1026	WT1	0.0
orf19.1026.1	WT1	14953000.0
orf19.1029	WT1	0.0
orf19.1030	WT1	83279000.0
orf19.1032	WT1	15431000.0
orf19.4482	WT1	0.0
orf19.1042	WT1	135450000.0
orf19.1047	WT1	0.0
orf19.1048	WT1	0.0
orf19.105	WT1	880740000.0
orf19.1051	WT1	8101299999.999999
orf19.1055	WT1	52432000.0
orf19.1057	WT1	0.0
orf19.1058	WT1	207980000.0
orf19.1854	WT1	240990000.0
orf19.1061	WT1	75433000.0
orf19.1064	WT1	432300000.0
orf19.1065	WT1	23566000000.0
orf19.1067	WT1	0.0
orf19.1078	WT1	325470000.0
orf19.1082.1	WT1	312760000.0
orf19.1085	WT1	33209000.0
orf19.1086	WT1	131840000.0
orf19.109	WT1	0.0
orf19.1091	WT1	2533100.0
orf19.1093	WT1	0.0
orf19.1095	WT1	55410000.0
orf19.1097	WT1	16931000.0
orf19.1107	WT1	24808000.0
orf19.1108	WT1	0.0
orf19.1110	WT1	11553000.0
orf19.1115	WT1	469390000.0
orf19.1122	WT1	1169100000.0
orf19.6676	WT1	25392000.0
orf19.113	WT1	9938100.0
orf19.1139	WT1	66630000.0
orf19.1149	WT1	74173000.0
orf19.1153	WT1	1444600000.0
orf19.1154	WT1	5959499999.999999
orf19.1161	WT1	26161000.0
orf19.1162	WT1	85374000.0
orf19.1164	WT1	0.0
orf19.1166	WT1	388570000.0
orf19.117	WT1	85514000.0
orf19.1180	WT1	30336000.0
orf19.1198	WT1	18968000.0
orf19.1199	WT1	44526000.0
orf19.1212	WT1	38730000.0
orf19.1214	WT1	38269000.0
orf19.1228	WT1	0.0
orf19.1233	WT1	17405000.0
orf19.1236	WT1	446750000.0
orf19.1237	WT1	3763500.0
orf19.124	WT1	3247100.0
orf19.1246	WT1	215190000.0
orf19.1248	WT1	24310000.0
orf19.1249	WT1	0.0
orf19.125	WT1	481340000.0
orf19.1253	WT1	1378300.0
orf19.1254	WT1	37759000.0
orf19.1267	WT1	16234000.0
orf19.1267.1	WT1	32162000.0
orf19.1272	WT1	0.0
orf19.1273	WT1	417520000.0
orf19.1277	WT1	16214000.0
orf19.1280	WT1	420740000.0
orf19.1282	WT1	128880000.0
orf19.1288	WT1	0.0
orf19.1290	WT1	312870000.0
orf19.1291	WT1	0.0
orf19.1295	WT1	40905000.0
orf19.1299	WT1	0.0
orf19.1301	WT1	141670000.0
orf19.1304	WT1	0.0
orf19.1309	WT1	19256000.0
orf19.1336	WT1	627040000.0
orf19.1338	WT1	7642100.0
orf19.1339	WT1	130730000.0
orf19.1340	WT1	22726000.0
orf19.1342	WT1	3983000000.0
orf19.1354	WT1	38287000.0
orf19.1355	WT1	0.0
orf19.1359	WT1	0.0
orf19.1361	WT1	7373600.0
orf19.1362	WT1	0.0
orf19.1374	WT1	105510000.0
orf19.1375	WT1	97019000.0
orf19.1376	WT1	174490000.0
orf19.1378	WT1	77801000.0
orf19.1388	WT1	26654000.0
orf19.1389	WT1	117240000.0
orf19.1390	WT1	3936900000.0
orf19.1394	WT1	348550000.0
orf19.1396	WT1	11238000.0
orf19.1402	WT1	1854600.0
orf19.1404	WT1	0.0
orf19.1409.1	WT1	2064600000.0
orf19.1412	WT1	7866500.0
orf19.1413	WT1	141790000.0
orf19.1414	WT1	76723000.0
orf19.1421	WT1	0.0
orf19.1422	WT1	0.0
orf19.1426	WT1	20020000.0
orf19.1433	WT1	0.0
orf19.382	WT1	10882000000.0
orf19.1442	WT1	7042700.0
orf19.1444	WT1	268620000.0
orf19.1448	WT1	47550000.0
orf19.1448.1	WT1	0.0
orf19.145	WT1	238530000.0
orf19.1458	WT1	0.0
orf19.1460	WT1	239790000.0
orf19.1466	WT1	0.0
orf19.1467	WT1	40044000.0
orf19.1468	WT1	8031000.0
orf19.1470	WT1	564420000.0
orf19.1471	WT1	2177600000.0
orf19.1474	WT1	54706000.0
orf19.1479	WT1	37490000.0
orf19.1483	WT1	45793000.0
orf19.1485	WT1	16656000.0
orf19.1493	WT1	0.0
orf19.1494	WT1	350290000.0
orf19.1495	WT1	77502000.0
orf19.1516	WT1	7979000.0
orf19.1517	WT1	966400000.0
orf19.1535	WT1	14563000.0
orf19.1544	WT1	163920000.0
orf19.1545	WT1	0.0
orf19.155	WT1	0.0
orf19.1552	WT1	3045699999.9999995
orf19.1553	WT1	268920000.0
orf19.1559	WT1	3369599999.9999995
orf19.1565	WT1	0.0
orf19.1566	WT1	0.0
orf19.1575	WT1	14680000.0
orf19.158	WT1	0.0
orf19.5797	WT1	7146000.0
orf19.1588	WT1	370150000.0
orf19.5809	WT1	43390000.0
orf19.1591	WT1	10335000000.0
