id,TA,TB,TC,TD,A,B,C,D
m1,76772.66667,88223.66667,280583.3333,468806.6667,91714,132740,133436.6667,109213.3333
m2,61924.33333,58285.66667,225386.6667,565613.3333,108255.3333,87800.66667,144690,98508.66667
m3,14178.33333,6746.133333,6785.666667,7037.066667,14576.16667,10036.26667,2685.533333,4825.833333
m4,14847.66667,7684.466667,526.5,2329.433333,79174.33333,17242,1024.3,5009.733333
m5,4344466.667,4744833.333,2423800,1884300,5572000,4494333.333,2803533.333,2828600
m6,239523.3333,283086.6667,972063.3333,1605633.333,317950,284586.6667,325573.3333,265950
m7,3311733.333,3417700,1811433.333,1665633.333,4147366.667,3418700,2079233.333,2242033.333
m8,80487,121077.6667,1389433.333,2352566.667,103760.3333,126026.6667,355433.3333,214326.6667
m9,56176.66667,49749.66667,69882,141416.6667,60162.66667,51144.66667,38327,42409
m10,75801.33333,81208.33333,106578,204490,71431,65247.33333,48232.66667,61395.66667
m11,530570,480710,1192233.333,3399200,731686.6667,612173.3333,986210,694406.6667
m12,11677.66667,6808.766667,8645.733333,20170,10933.56667,4108.9,6677.166667,8084.933333
m13,32476,34209.33333,58260,52457,52218,36718.66667,50598.33333,59842.33333
m14,26902.66667,39408.66667,43320.33333,68536.66667,50553.33333,67764.33333,112144.3333,96052.33333
m15,75539.33333,100332.6667,90975.33333,97593.33333,92101.66667,67382,78379,67019.33333
m16,22653.33333,38640.33333,36211.33333,39996,43557.33333,39246.33333,32947.66667,30282.33333
m17,5355966.667,3270600,18067333.33,34299666.67,7529600,5207733.333,7990533.333,5290500
m18,235753.3333,251103.3333,168726.6667,175476.6667,215886.6667,214390,210823.3333,245413.3333
m19,12521666.67,9470466.667,24734000,61048000,14837000,13513000,18395666.67,14939333.33
m20,2506933.333,1414833.333,1878866.667,3467033.333,3124233.333,1410856.667,1108526.667,1671133.333
m21,2624500,1068566.667,1665233.333,2985366.667,2816333.333,1047996.667,978153.3333,1647433.333
m22,12426.6,15355,28410.66667,105005.6667,20570,13701.33333,23855.66667,18793.66667
m23,15363,10710.56667,9849.333333,22004.66667,15833.33333,10939.76667,15264,15974.33333
m24,99868.66667,23516.33333,75736.66667,131643.6667,116853.3333,42356,34169,67233.33333
m25,418513.3333,423760,975886.6667,2303833.333,528103.3333,475963.3333,683110,621590
m26,396063.3333,424436.6667,936423.3333,2319400,484690,473480,637123.3333,610086.6667
m27,156336.6667,72012.33333,58764,79786,346220,84291.66667,130603.3333,106939
m28,1709100,1938900,2163166.667,1741466.667,1202633.333,1559500,1814600,1777400
m29,7210200,8351933.333,12462000,20426666.67,10031000,8028666.667,15058666.67,10967266.67
m30,12115.3,12615.23333,11615,10682.76667,7389.633333,14729.33333,10114.7,10764.3
m31,889813.3333,1032090,725480,377733.3333,838786.6667,1075460,737010,802796.6667
m32,125392.6667,164460,79535.66667,49780.33333,122994.3333,140886.6667,93202.33333,125360
m33,852563.3333,1089760,709710,459373.3333,837676.6667,1072233.333,761123.3333,839393.3333
m34,185256.6667,284310,281300,308316.6667,355406.6667,313066.6667,338993.3333,341193.3333
m35,53212,38946,75651.33333,104942.3333,79877.33333,48054.66667,56065,50002
m36,152050,211936.6667,182540,260043.3333,141173.3333,175956.6667,189410,191226.6667
m37,529933.3333,1004776.667,625490,1340396.667,566810,962570,1054470,1175353.333
